product_id,product_line,product_name,brand,sport,season_label,release_year,release_date,box_format,format_channel,currency,cards_per_pack,packs_per_box,boxes_per_case,cards_per_box,stated_autos_per_box,stated_autos_per_case,auto_odds_pack,auto_odds_basis,ssp_odds_pack,srp_usd,retail_price_usd,retail_price_asof,retail_price_source,base_set_size,odds_source_url,source_note
2025-26-topps-nba-hoops-fanatics-value-blaster,2025-26 Topps NBA Hoops,2025-26 Topps NBA Hoops Fanatics Value Blaster,Topps,Basketball,2025-26,2026,2026-05-14,Fanatics Value Blaster,retail,USD,8,8,,64,0,,,,,39.99,39.99,2026-08-27,srp_placeholder,300,https://www.checklistinsider.com/2025-26-topps-nba-hoops-basketball,
2025-26-topps-nba-hoops-hanger,2025-26 Topps NBA Hoops,2025-26 Topps NBA Hoops Hanger,Topps,Basketball,2025-26,2026,2026-05-14,Hanger,retail,USD,25,1,64,25,0,,,,,,,,,300,https://www.checklistinsider.com/2025-26-topps-nba-hoops-basketball,
2025-26-topps-cosmic-chrome-bkb-hobby,2025-26 Topps Cosmic Chrome Basketball,2025-26 Topps Cosmic Chrome Basketball Hobby,Topps,Basketball,2025-26,2026,2026-04-29,Hobby,hobby,USD,4,20,8,80,,2,,,,579.99,1100.0,2026-08-27,"blowoutcards.com 8-box case $8,799.95 / 8",200,https://www.checklistinsider.com/2025-26-topps-cosmic-chrome-basketball,"autos guaranteed per case, not per box"
2025-26-topps-cosmic-chrome-bkb-fdi,2025-26 Topps Cosmic Chrome Basketball,2025-26 Topps Cosmic Chrome Basketball First Day Issue,Topps,Basketball,2025-26,2026,2026-04-29,First Day Issue,premium,USD,4,20,8,80,,2,,,,1575.0,1575.0,2026-08-27,"srp_placeholder (Dutch auction ~$1,550-1,600)",200,https://www.checklistinsider.com/2025-26-topps-cosmic-chrome-basketball,
2025-26-topps-cosmic-chrome-bkb-lunar,2025-26 Topps Cosmic Chrome Basketball,2025-26 Topps Cosmic Chrome Basketball Lunar,Topps,Basketball,2025-26,2026,2026-04-29,Lunar,hobby,USD,4,20,8,80,,2,,,,,,,,200,https://www.checklistinsider.com/2025-26-topps-cosmic-chrome-basketball,1 Lunar Refractor SP guaranteed per pack
2025-26-bowman-bkb-hobby,2025-26 Bowman Basketball,2025-26 Bowman Basketball Hobby,Topps,Basketball,2025-26,2026,2026-04-22,Hobby,hobby,USD,8,20,12,160,2,,68,published,,359.99,499.95,2026-08-27,blowoutcards.com,200,https://www.checklistinsider.com/2025-26-bowman-basketball,2 autos/box = 1 NBA + 1 NIL
2025-26-bowman-bkb-jumbo,2025-26 Bowman Basketball,2025-26 Bowman Basketball Jumbo,Topps,Basketball,2025-26,2026,2026-04-22,Jumbo,hobby,USD,24,12,8,288,4,,3.0,derived_from_guarantee,,599.99,599.99,2026-08-27,srp_placeholder,200,https://www.checklistinsider.com/2025-26-bowman-basketball,4 autos/box = 2 NBA + 2 NIL
2025-26-bowman-bkb-breakers-delight,2025-26 Bowman Basketball,2025-26 Bowman Basketball Breakers Delight,Topps,Basketball,2025-26,2026,2026-04-22,Breakers Delight,breaker,USD,10,1,6,10,3,,0.3,derived_from_guarantee,,,,,,200,https://www.checklistinsider.com/2025-26-bowman-basketball,3 autos/box = 2 NBA + 1 NIL
2025-26-bowman-bkb-mega,2025-26 Bowman Basketball,2025-26 Bowman Basketball Mega,Topps,Basketball,2025-26,2026,2026-04-22,Mega,retail,USD,7,6,20,42,,4,,,,59.99,59.99,2026-08-27,srp_placeholder,200,https://www.checklistinsider.com/2025-26-bowman-basketball,~4 autos per case
2025-26-bowman-bkb-value-blaster,2025-26 Bowman Basketball,2025-26 Bowman Basketball Value Blaster,Topps,Basketball,2025-26,2026,2026-04-22,Value Blaster,retail,USD,10,6,,60,,4,,,,29.99,29.99,2026-08-27,srp_placeholder,200,https://www.checklistinsider.com/2025-26-bowman-basketball,~4 autos per case
2025-26-topps-signature-class-bkb-hobby,2025-26 Topps Signature Class Basketball,2025-26 Topps Signature Class Basketball Hobby,Topps,Basketball,2025-26,2026,2026-05-28,Hobby,hobby,USD,4,8,12,32,2,,4.0,derived_from_guarantee,,549.99,549.99,2026-08-27,srp_placeholder (retailer bot-blocked on price date),150,https://www.checklistinsider.com/2025-26-topps-signature-class-basketball,"autograph-driven product; no SSP inserts (base FoilFractor 1/1 is 1:14,661 hobby)"
2025-26-topps-signature-class-bkb-jumbo,2025-26 Topps Signature Class Basketball,2025-26 Topps Signature Class Basketball Jumbo,Topps,Basketball,2025-26,2026,2026-05-28,Jumbo,hobby,USD,10,4,6,40,4,,1.0,derived_from_guarantee,,899.99,899.99,2026-08-27,srp_placeholder,150,https://www.checklistinsider.com/2025-26-topps-signature-class-basketball,
2025-26-topps-signature-class-bkb-mega,2025-26 Topps Signature Class Basketball,2025-26 Topps Signature Class Basketball Mega,Topps,Basketball,2025-26,2026,2026-05-28,Mega,retail,USD,8,10,20,80,0,,,,,64.99,64.99,2026-08-27,srp_placeholder,150,https://www.checklistinsider.com/2025-26-topps-signature-class-basketball,
2025-26-topps-signature-class-bkb-value-blaster,2025-26 Topps Signature Class Basketball,2025-26 Topps Signature Class Basketball Value Blaster,Topps,Basketball,2025-26,2026,2026-05-28,Value Blaster,retail,USD,7,6,40,42,0,,,,,34.99,34.99,2026-08-27,srp_placeholder,150,https://www.checklistinsider.com/2025-26-topps-signature-class-basketball,
